"INLINE PaletteAssociationTable","Palette Association List Pointer"
"0x00 (No one/Not referenced)","0x0"
"Ephraim Lord","EmptyPaletteList|IsPointer"
"Eirika Lord","EmptyPaletteList|IsPointer"
"Ephraim Great Lord","EmptyPaletteList|IsPointer"
"Eirika Great Lord","EmptyPaletteList|IsPointer"
"Cavalier","CavalierPaletteList|IsPointer"
"Cavalier (F)","CavalierPaletteList|IsPointer"
"Paladin","PaladinPaletteList|IsPointer"
"Paladin (F)","PaladinPaletteList|IsPointer"
"Armour Knight","ArmorPaletteList|IsPointer"
"Armour Knight (F)","ArmorPaletteList|IsPointer"
"General","GeneralPaletteList|IsPointer"
"General (F)","GeneralPaletteList|IsPointer"
"Thief","ThiefPaletteList|IsPointer"
"Thief (F)","ThiefPaletteList|IsPointer"
"Mercenary","MercPaletteList|IsPointer"
"Mercenary (F)","MercPaletteList|IsPointer"
"Hero","HeroPaletteList|IsPointer"
"Hero (F)","HeroPaletteList|IsPointer"
"Myrmidon","MyrmPaletteList|IsPointer"
"Myrmidon (F)","MyrmPaletteList|IsPointer"
"Swordmaster","SwordmasterPaletteList|IsPointer"
"Swordmaster (F)","SwordmasterPaletteList|IsPointer"
"Assassin","AssassinPaletteList|IsPointer"
"Assassin (F)","AssassinPaletteList|IsPointer"
"Archer","ArcherPaletteList|IsPointer"
"Archer (F)","ArcherPaletteList|IsPointer"
"Sniper","SniperPaletteList|IsPointer"
"Sniper (F)","SniperPaletteList|IsPointer"
"Ranger","RangerPaletteList|IsPointer"
"Ranger (F)","RangerPaletteList|IsPointer"
"Wyvern Rider","WyvRiderPaletteList|IsPointer"
"Wyvern Rider (F)","WyvRiderPaletteList|IsPointer"
"Wyvern Lord","WyvLordPaletteList|IsPointer"
"Wyvern Lord (F)","WyvLordPaletteList|IsPointer"
"Wyvern Knight","WyvKnightPaletteList|IsPointer"
"Wyvern Knight (F)","WyvKnightPaletteList|IsPointer"
"Mage","MagePaletteList|IsPointer"
"Mage (F)","MagePaletteList|IsPointer"
"Sage","SagePaletteList|IsPointer"
"Sage (F)","SagePaletteList|IsPointer"
"Mage Knight","MageKnightPaletteList|IsPointer"
