##BlairEndingTitle
Blair, Young Light[X]

##ArinEndingTitle
Arin, Faithful Enigma[X]

##KennethEndingTitle
Kenneth, Harsh Heir[X]

##NatasiaEndingTitle
Natasia, Bold One[X]

##StefanEndingTitle
Stefan, Swift Blade[X]

##DesmondEndingTitle
Desmond, Unflinching Hero[X]

##SamEndingTitle
Sam, Shy Sharpshooter[X]

##JosefEndingTitle
Josef, Noble Snatcher[X]

##PeggyEndingTitle
Peggy, Staffbonker[X]

##ButchEndingTitle
Butch, Renewed Purpose[X]

##RachaelEndingTitle
Rachael, Dutiful Wings[X]

##CassiusEndingTitle
Cassius, Legendary(?) Figure[X]

##JeffEndingTitle
Jeff, Unavowed Crook[X]

##EmileEndingTitle
Emile, Well of Knowledge[X]

##ApolloEndingTitle
Apollo, Pious Wanderer[X]

##BechamelEndingTitle
Bechamel, Man of the Sea[X]

##SveltzalusEndingTitle
Sveltzalus, Enigmatic Eyeball[X]

##HilbertEndingTitle
Hilbert the Hero[X]

##FlynnEndingTitle
Flynn, Solitary Blade[X]

##MikeyEndingTitle
Mikey, Resolute Chef[X]

##CarbonEndingTitle
Carbon, Simply Amazing[X]

##AthenaEndingTitle
Athena, Stalwart of Opistia[X]

##CharleyEndingTitle
Charley, Peerless Aim[X]

##ZekeEndingTitle
Zeke, The Last Prince[X]

##HyperiusEndingTitle
Hyperius, Blade of Resolve[X]

##AlexisEndingTitle
Alexis, Young Paragon[X]

##LeilaEndingTitle
Leila, Wings of Freedom[X]

##DamienEndingTitle
Damien, Jolly Hunter[X]

##ZachariasEndingTitle
Zacharias, Stout One[X]

##AvanEndingTitle
Avan, Curious Wanderer[X]

##ToddsworthEndingTitle
Toddsworth, Unfortunately[X]

##YuyuEndingTitle
Yuyu, Excitable One[X]

##ArtemisEndingTitle
Artemis, Unstoppable[X]

##HollandaiseEndingTitle
Hollandaise, Ashen Soul[X]

##VladmirEndingTitle
Vladmir, Soaring Spirit[X]

##HoratioEndingTitle
Horatio, Unlimited Sword[X]

##SimoneEndingTitle
Simone, Truth's Arbiter[X]

##ViridanEndingTitle
Viridian, People's Hero[X]

##FreddricEndingTitle
Freddric, Devoted Lance[X]

##DeanEndingTitle
Dean, Family Man[X]

##ElizaEndingTitle
Eliza, Lovable Cleric[X]

##ChartreuseEndingTitle
Chartreuse, Bard of Purpose[X]

##RiftEndingTitle
Rift, False Myrmidon[X]

##EstelleEndingTitle
Estelle, Storied Actress[X]

##RoseEndingTitle
Rose, Evasive Child[X]

##DirkEndingTitle
Dirk, Stubborn Protector[X]

##CallumEndingTitle
Callum, His Own Man[X]

##ManfredEndingTitle
Manfred, Desert's Shadow[X]

##WilhelmEndingTitle
Wilhelm, Life's Wild Ride[X]

##ArgentEndingTitle
Argent, Contemplative Bulwark[X]

##PtolemyEndingTitle
Ptolemy, Friend to Bees[X]

##JohanEndingTitle
Johan, Unforgotten[X]

##PeterEndingTitle
Peter, Snide Mercenary[X]

##SoniaEndingTitle
Sonia, Paragon Hermit[X]

##JoanEndingTitle
Joan, Determined Sister[X]

##TobiasEndingTitle
Tobias, Yg'stra's Deliverance[X]

##IanEndingTitle
Ian, Some Kid[X]

##OlsenEndingTitle
Olsen, Assassin of Character[X]

##ElcorianEndingTitle
Elcorian[X]

##AddingtonEndingTitle
Addington, Funny Little Guy[X]

##AgnesEndingTitle
Agnes, Cid's Blade[X]

##JonasEndingTitle
Jonas, Rider of Remembrance[X]

##LarondeEndingTitle
Laronde, Devoted Brother[X]

##TonnaminEndingTitle
Tonnamin, Dead Ringer[X]

##ClarqueEndingTitle
Clarque, Forlorn Father[X]
